"Statistic Label","Census Year","Electoral Divisions","UNIT","VALUE"
"Population - 2022","2022","Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown","Number","4354"
"Population - 2022","2022","Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown","Number","1758"
"Population - 2022","2022","Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown","Number","3688"
"Population - 2022","2022","Dún Laoghaire-West Central, Dún Laoghaire-Rathdown","Number","2726"
"Population - 2022","2022","Foxrock-Beechpark, Dún Laoghaire-Rathdown","Number","1758"
"Population - 2022","2022","Foxrock-Carrickmines, Dún Laoghaire-Rathdown","Number","6324"
"Population - 2022","2022","Foxrock-Deansgrange, Dún Laoghaire-Rathdown","Number","2523"
"Population - 2022","2022","Foxrock-Torquay, Dún Laoghaire-Rathdown","Number","1558"
"Population - 2022","2022","Glencullen, Dún Laoghaire-Rathdown","Number","23596"
"Population - 2022","2022","Killiney North, Dún Laoghaire-Rathdown","Number","3390"
"Population - 2022","2022","Killiney South, Dún Laoghaire-Rathdown","Number","6386"
"Population - 2022","2022","Shankill-Rathmichael, Dún Laoghaire-Rathdown","Number","5731"
"Population - 2022","2022","Shankill-Rathsallagh, Dún Laoghaire-Rathdown","Number","3254"
"Population - 2022","2022","Shankill-Shanganagh, Dún Laoghaire-Rathdown","Number","5522"
"Population - 2022","2022","Stillorgan-Deerpark, Dún Laoghaire-Rathdown","Number","3001"
"Population - 2022","2022","Stillorgan-Kilmacud, Dún Laoghaire-Rathdown","Number","4249"
"Population - 2022","2022","Stillorgan-Leopardstown, Dún Laoghaire-Rathdown","Number","2973"
"Population - 2022","2022","Stillorgan-Merville, Dún Laoghaire-Rathdown","Number","3275"
"Population - 2022","2022","Stillorgan-Mount Merrion, Dún Laoghaire-Rathdown","Number","2445"
"Population - 2022","2022","Stillorgan-Priory, Dún Laoghaire-Rathdown","Number","2269"
"Population - 2022","2022","Tibradden, Dún Laoghaire-Rathdown","Number","945"
"Population - 2022","2022","Athy East Urban, Kildare","Number","4216"
"Population - 2022","2022","Athy Rural, Kildare","Number","4548"
"Population - 2022","2022","Athy West Urban, Kildare","Number","3123"
"Population - 2022","2022","Ballaghmoon, Kildare","Number","223"
"Population - 2022","2022","Ballitore, Kildare","Number","1245"
"Population - 2022","2022","Ballybrackan, Kildare","Number","660"
"Population - 2022","2022","Ballymore Eustace, Kildare","Number","1589"
"Population - 2022","2022","Ballynadrumny, Kildare","Number","580"
"Population - 2022","2022","Ballysax East, Kildare","Number","2090"
"Population - 2022","2022","Ballysax West, Kildare","Number","1233"
"Population - 2022","2022","Ballyshannon, Kildare","Number","1813"
"Population - 2022","2022","Balraheen, Kildare","Number","2559"
"Population - 2022","2022","Belan, Kildare","Number","321"
"Population - 2022","2022","Bert, Kildare","Number","172"
"Population - 2022","2022","Bodenstown, Kildare","Number","5091"
"Population - 2022","2022","Burtown, Kildare","Number","421"
"Population - 2022","2022","Cadamstown, Kildare","Number","1554"
"Population - 2022","2022","Carbury, Kildare","Number","2345"
"Population - 2022","2022","Carnalway, Kildare","Number","2043"
"Population - 2022","2022","Carragh, Kildare","Number","1854"
"Population - 2022","2022","Carrick, Kildare","Number","304"
"Population - 2022","2022","Carrigeen, Kildare","Number","644"
"Population - 2022","2022","Castledermot, Kildare","Number","1853"
"Population - 2022","2022","Celbridge, Kildare","Number","16066"
"Population - 2022","2022","Churchtown, Kildare","Number","554"
"Population - 2022","2022","Clane, Kildare","Number","8927"
"Population - 2022","2022","Cloncurry, Kildare, 087026","Number","1648"
"Population - 2022","2022","Cloncurry, Kildare, 087027","Number","490"
"Population - 2022","2022","Donadea, Kildare","Number","857"
"Population - 2022","2022","Donaghcumper, Kildare","Number","6652"
"Population - 2022","2022","Donore, Kildare","Number","860"
"Population - 2022","2022","Downings, Kildare","Number","3091"
"Population - 2022","2022","Drehid, Kildare","Number","269"
